Depth_m,Distance_to_Shore,Turbidity,Windspeed,Cyclone_Frequency,Temperature_Maximum,SSTA_DHW,Percent_Bleaching
10.4,1018.88,0.0273,4.0,49.1,304.62,4.6,58.3
6.55,1018.88,0.0273,7.0,49.1,304.62,5.39,58.3
13.75,1212.26,0.0273,4.0,49.1,304.62,0.72,58.3
17.85,1118.47,0.028,5.0,50.37,304.6,2.12,58.3
12.0,265.51,0.0631,8.0,65.39,303.76,0.0,58.3
11.5,1499.36,0.0383,5.0,43.66,304.48,2.78,58.4
2.4,4741.47,0.0608,3.0,57.28,304.84,1.03,58.6
7.9,254.72,0.0424,6.0,65.39,304.07,13.51,58.7
3.65,373.08,0.0401,6.0,51.1,304.63,2.65,58.8
11.75,1494.24,0.0404,6.0,46.93,306.32,3.67,58.8
6.4,1259.2,0.041,3.0,46.93,307.65,6.73,58.8
10.8,1112.23,0.0279,4.0,49.1,304.39,1.05,58.8
11.0,569.56,0.0424,6.0,65.39,303.76,10.41,58.8
13.0,256.32,0.0352,3.0,69.08,304.5,0.0,59.0
6.0,8294.26,0.0264,5.0,56.26,304.54,5.05,59.0
15.0,150.06,0.0348,4.0,65.66,304.35,12.35,59.1
14.0,655.61,0.0303,6.0,66.92,303.76,1.0,59.2
5.2,500.66,0.0424,6.0,65.39,303.76,10.41,59.3
5.0,229.47,0.0579,8.0,85.57,304.29,0.0,59.4
3.0,4726.2,0.1005,4.0,60.51,305.1,1.35,59.4
20.0,110.48,0.0422,8.0,66.37,304.02,0.0,59.5
4.05,5820.23,0.1636,3.0,58.01,305.55,1.73,59.5
3.0,4457.21,0.1711,7.0,60.51,304.86,0.0,59.5
3.65,373.08,0.0401,6.0,51.1,304.63,2.65,60.0
11.25,751.72,0.0366,9.0,54.59,304.26,4.4,60.0
10.0,74.11,0.0499,7.0,61.52,304.14,4.01,60.0
5.0,182.05,0.0579,7.0,85.57,304.29,3.07,60.0
20.0,110.48,0.0422,7.0,66.37,304.02,5.72,60.0
15.0,170.36,0.0499,7.0,61.52,304.14,4.01,60.0
5.0,80.58,0.0483,7.0,59.77,304.2,3.11,60.0
7.0,180.45,0.1265,3.0,49.88,307.01,15.91,60.0
1.5,1136.72,0.0773,1.0,51.72,305.57,4.02,60.0
6.0,751.92,0.0418,7.0,55.69,306.29,6.02,60.0
8.5,632.31,0.0418,7.0,55.69,306.29,6.02,60.0
5.0,1505.03,0.0413,6.0,56.87,304.11,11.45,60.0
6.75,2585.0,0.0729,5.0,55.64,303.87,7.84,60.0
6.0,3870.91,0.0789,4.0,19.86,305.23,1.01,60.0
6.0,7365.52,0.0686,5.0,19.86,304.83,0.0,60.0
6.0,1571.9,0.0388,4.0,40.0,304.16,2.24,60.0
6.0,4972.01,0.055,4.0,41.4,305.14,4.36,60.0
